income_per_credit_line,loan_purpose_house,loan_purpose_credit_card,inquiries_last_12m,term,num_total_cc_accounts,months_since_last_credit_inquiry,num_open_cc_accounts,open_credit_lines,num_satisfactory_accounts,loan_amount,application_type_joint
3214.285714285714,0,0,6,60,14,5.0,8,10,10,28000,0
1333.3333333333333,0,0,1,36,24,8.0,14,14,14,5000,0
1290.3225806451612,0,0,4,36,14,7.0,8,10,10,2000,0
7500.0,0,0,0,36,3,15.0,3,4,4,21600,0
2590.909090909091,0,1,7,36,20,4.0,15,16,16,23000,1
1062.5,0,0,6,36,27,5.0,12,12,12,5000,0
12916.666666666666,0,1,1,60,8,9.0,7,10,10,24000,1
3666.6666666666665,0,0,1,60,16,7.0,12,15,15,20000,0
1857.142857142857,0,0,3,36,19,4.0,14,21,21,20000,0
3333.3333333333335,0,1,0,36,7,17.0,5,6,6,6400,0
3409.090909090909,0,0,4,60,16,3.0,8,10,10,25000,0
3534.6153846153848,0,0,4,60,15,4.0,8,10,10,40000,0
3812.5,0,0,8,36,20,1.0,9,12,12,16000,0
1353.8461538461538,0,1,6,60,53,0.0,20,21,21,17000,0
772.7272727272727,0,0,0,36,17,14.0,7,10,10,3000,0
2857.1428571428573,0,1,0,60,10,-1.0,8,11,11,20000,0
2857.1428571428573,0,1,4,60,7,2.0,5,9,9,12000,0
6000.0,0,0,6,60,5,2.0,4,6,6,30000,0
11666.666666666666,0,0,2,36,6,2.0,2,7,7,5000,0
7545.454545454545,0,0,1,60,7,8.0,4,6,6,20000,0
3846.153846153846,0,1,0,36,7,13.0,6,9,9,7000,0
5000.0,0,1,4,36,7,5.0,5,9,9,10000,1
1562.5,0,0,1,60,22,6.0,8,17,17,21050,0
4028.0,0,0,1,36,7,9.0,2,4,4,3500,0
3153.846153846154,0,1,1,36,14,4.0,5,7,7,8000,0
2750.0,0,0,0,60,16,-1.0,12,14,14,18000,0
3235.294117647059,0,1,7,36,16,3.0,10,11,11,10000,0
3666.6666666666665,0,0,0,36,3,19.0,3,8,8,3200,0
4615.384615384615,0,0,0,36,9,-1.0,7,9,9,10000,0
1846.1538461538462,1,0,2,36,18,0.0,6,9,9,6000,0
2944.4444444444443,0,0,2,36,26,0.0,12,15,15,12000,0
6621.621621621622,0,0,1,60,8,6.0,6,20,20,40000,0
3258.064516129032,0,1,0,60,26,17.0,17,20,20,19000,1
2962.962962962963,0,0,0,60,14,20.0,11,14,14,28000,0
